,business_id,name,address,city,postal_code,latitude,longitude,stars,tips,cusines
1393,oM2M_aTcK1DrsRnaizQVKw,Mad Greek Deli,18450 NW W Union Rd,Portland,97229,45.5577344,-122.867101,3.5,,Mediterranean
1409,r1VBBIelTdjwtqE4pKwghA,Ramen Ryoma,10500 SW Beaverton Hillsdale Hwy,Beaverton,97005,45.4856519646,-122.7847966924,4.5,Killer Spicy Ramen was soo damn good!,Japanese
1546,FfBb8LED4sZptpKQnp8ODQ,Baja Fresh,12286 SW Scholls Ferry Rd,Tigard,97223,45.442747,-122.800889,3.0,"Incorrect item delivered; asked for Baja salsa, received verde.",Mexican
1605,L64B6cjL1pQ1IvoqMojnig,OUIBar + KTCHN,1455 SW Broadway,Portland,97201,45.5142749723,-122.6824226168,4.0,"Surprised by the Crater Loon, not too sweet even though it was made with my favorite sweeter syrup, elderflower!",American (Traditional)
1612,DDYQjAiMDKu7SlZoTdCKsA,Joseph & Brian's Diner,6311 SW Capitol Hwy,Portland,97239,45.4787204,-122.6949984,4.0,,American (Traditional)
1632,_IkPghLfySEgEDrg9RzipA,Saigon Pearl Restaurant & Lounge,2204 SE 82nd Ave,Portland,97216,45.5070267,-122.5785967,3.5,,American (New)
1652,Aw7k9hYGOp2eNNO9SJXqag,Lightning Will Bar & Grill,305 NW 21st Ave,Portland,97209,45.5251727093,-122.6945668902,4.0,Taxi Tuesday is where it's at! 2x tacos and a Tecate for $5?!!,American (Traditional)
1655,46papwYigu0NWzd0WV5kEA,West Cafe Taqueria,1201 SW Jefferson St,Portland,97201,45.5166958,-122.686474,3.5,,Mexican
1745,VJJ3_oNesS9bvIlayL0kQA,The Waypost,3120 N Williams Ave,Portland,97227,45.5457673181,-122.6664848478,4.0,,Mexican
1821,0lXTBIqLkPtSyKQDOYeosQ,Mama Chow's Kitchen,300 SW 2nd Ave,Portland,97204,45.5206428,-122.6731087,4.5,The garlic noodles with lollipop chicken is a must have there! I'll be back :-),Chinese
1839,Evkn2Rlxmu25wlHnl5KC7A,Township and Range,2422 SE Hawthorne Blvd,Portland,97214,45.5120074,-122.6410808,4.0,,American (Traditional)
1864,YP-hmecnBsb_zr2mBdh6Ow,Anna Bannanas NW,1214 NW 21st Ave,Portland,97209,45.5315957,-122.6943739,4.0,If I could give zero stars I would.,American (Traditional)
1867,6W_Dcu-kcPa4QzwDg4kjow,Wilfs Restaurant & Bar,800 NW 6th Ave,Portland,97209,45.5286288551,-122.6762887139,3.5,,American (New)
1872,3tMzCPeeSkgJZoUcK-_F6Q,Diamond Thai,The Green Castle Food Ct,Portland,97232,45.5582948794,-122.5988388062,3.5,,Thai
1915,K4UY12n0i2UOXLNc-7HpnA,Pok Pok Wing,8250 SW Barbur Blvd,Portland,97219,45.465248,-122.697969,3.5,Closed,Thai
1943,5z_6Kx3648C4tfBzD0FgRw,Swank Restaurant,808 SW Taylor Ave,Portland,97205,45.5181701605,-122.6817070818,3.5,,American (New)
1996,O1B-lQ37RoHLis-orL43Cg,Red Robin Gourmet Burgers and Brews,"10005 NE Cascades Pkwy, Ste A",Portland,97220,45.5735774,-122.5593626,3.0,,American (Traditional)
2007,RpECLdpXyIW650_aX6zlIg,Thai Smile Restaurant,1639 NW Glisan St,Portland,97209,45.5265674,-122.68816,3.5,,Thai
2021,zwCnvvz9eEgRsnmqijRDbA,The Alameda Cafe,4641 NE Fremont St,Portland,97213,45.5483756,-122.6152097,3.5,,American (New)
2154,XvxbrfhzCZ4iLOjrcTi3Ww,Wasabi Sushi PDX,3448 NE Sandy Blvd,Portland,97232,45.5323473,-122.6282818,4.0,My go-to place for sushi!,Japanese
2234,nkqaLepNTSrUYuZkzbBR5A,Ole Frijole,4125 NE Killingsworth St,Portland,97211,45.563038399999996,-122.6208805,4.0,Inexpensive good quality food. First time here and I will most definitely come back.,Mexican
2241,Dqd7NpbF6AnI18RIP1XNig,Slate,830 N Shaver Street,Portland,97227,45.5519524,-122.6752814,4.5,,American (New)
2275,RA2Wg5Cio8xfcK9FE3ScLg,La Salsa Mexican Grill,6036 SE Division St,Portland,97206,45.5052459,-122.6008666,3.5,,Mexican
2277,9U9RUKDf6a8vadpBGDMQSQ,Fuego Food Carts,701 SW 6th Ave,Portland,97205,45.5190822,-122.6794909,4.0,,Mexican
2279,qRFM_PLwkz-S6HtsYI_2PQ,Taqueria Rico Taco,111 SE 181st Ave,Portland,97233,45.5213051,-122.4774686,3.5,Good food but their tortillas always breaks on tacos,Mexican
2374,EnTLBzN6aQV-TKGIOABbXA,Zibas Pitas,SW 9th Ave & SW Alder St,Portland,97205,45.5204116,-122.6808017,4.0,,Mediterranean
2379,7O3rMVJ07cbtrYzoHhLR-A,Buffalo Wild Wings,327 SW Morrison St,Portland,97204,45.5185331,-122.6761788,3.0,This place is wayyyyy better than pok pok nigga on me,American (Traditional)
2388,Q_A8Sr23g4vyrw3XXaWSRw,Red Robin Gourmet Burgers and Brews,10100 SW Washington Square Rd,Portland,97223,45.4473306,-122.7789219,2.5,We ordered delivery and rec'd sub-par food.,American (Traditional)
2397,n9CA0FFHA6nwtiLcj4kzbw,Dr Feelgood's Pub,20419 SW Tualatin Valley Hwy,Beaverton,97003,45.496996,-122.887104,2.5,Miss you guys,American (Traditional)
2407,abl9mcFLfIUAqcXjlb2Jgw,Metrovino,1139 NW 11th Ave,Portland,97209,45.5313623759,-122.6826627674,3.5,,American (Traditional)
2446,Pk7Bx8DeBieskgnr9_B_cQ,Ngoc Han Bun Bo Hue,"8230 SE Harrison St, Ste 315",Portland,97216,45.5078786,-122.5785353,4.0,,Vietnamese
2464,Jelhk2X7EJIMwUlO8RAN5g,Fuller's Burger Shack,10131 NE Cascades Pkwy,Portland,97220,45.5731634,-122.5575475,4.0,,American (Traditional)
2502,2nbPJZIKQu4Lly067SZxMg,Green Wok,11137 SW Capitol Hwy,Portland,97219,45.4449232,-122.7274646,4.0,,Chinese
2549,fzfDmwHJCiLat4bZ5gffbQ,Market Restaurant,200 SW Market St,Portland,97201,45.511598,-122.678607,4.0,,American (New)
2609,gUJYDMLaeUv9h2I4AWZR9Q,Pho Saigon Xua,5253 SE 82nd Ave,Portland,97266,45.4842142,-122.5800716,4.5,,Vietnamese
2624,YjmT2LbV-hrXswXvxLCRYA,Hash It Out,7316 N Lombard,Portland,97203,45.5875709,-122.7423628,4.0,,American (Traditional)
2720,OCQWUtbRTkk0HqbjjZb0UA,La Costita,17102 SE Powell Blvd,Portland,97236,45.4923275,-122.4883038,4.0,,Mexican
2755,GdhT2vJ0a8FQ9F-ksySgCQ,Rip City Grill,6036 SE Division St,Portland,97206,45.505216,-122.6008952,4.5,This food is dang good.,American (Traditional)
2814,IUh58pSSkm1pROi7vieVDw,Spicy Thai,12406 SW Broadway St,Beaverton,97005,45.4873779,-122.8042387,4.5,"Good Food., 
Amazing spicy levels.
Would definitely go back.",Thai
2843,BPOIEtIMqUkI7fk85Gfwrw,Eastern Cathay Restaurant and Lounge,1411 NE 82nd Ave,Portland,97220,45.5330661,-122.579454,3.0,,Chinese
2844,oE4Pcf8xjSaG0hQ230fMvg,Best Teriyaki,15020 Bangy Rd,Lake Oswego,97035,45.4169763,-122.742151,3.0,,American (New)
2866,vJftkizK0dSwfMbYdxdQ2g,El Perico Y Taqueria,12000 SW Allen Blvd,Beaverton,97005,45.4758115,-122.8007144,3.0,,Mexican
2876,RvTZl0uOcBfjOTa10wwt-g,Banya Japanese Restaurant,8166 SW Hall Blvd,Beaverton,97008,45.46122,-122.7933748,4.0,"Nice dinner, quality of fish was pretty good. The ume shiso roll is very tasty.",Japanese
2898,OYdlAEaoxDxW4aR0wY4VFA,El catrin,600 SE 146th Ave,Portland,97233,45.5184381,-122.5121677,4.0,,Mexican
2967,t6r5EGcPCSXqLf4bNeaw0A,Anna's Island Cafe,4715 N Lagoon Ave,Portland,97217,45.5571168,-122.702709,4.0,,American (Traditional)
3053,Xge6ajeuR7CEio9vSdFsJA,Verde Cocina,3746 N Mississippi Ave,Portland,97227,45.5501839846,-122.6753724961,3.5,Food was frwah and well prepared but lacking in flavor,Mexican
3083,2IOheCGC2vPrbbppEDyhoA,EL Sultan,SE 52nd And Se Foster,Portland,97206,45.4958362919,-122.6087465496,4.0,,Mediterranean
3093,xRvbrDDE32cBN8ehgv-UGQ,Rock Creek Corner,18515 NW W Union Rd,Portland,97229,45.5582443,-122.8678832,4.0,"Tasty, great service, bistro fare 
Highly recommend!",Mediterranean
3102,u9s4_IR77drtWqZjm-EwHA,Star Kitchen Thai Food,3625 NE Martin Luther King Jr Blvd,Portland,97212,45.5493523,-122.6618556,5.0,,Thai
3282,gHuYY52ytiHgO-BLMyNYIA,El Local,,Portland,97206,45.4856372,-122.5946255,4.5,,Mexican
3311,bg_YgINQ5X5s5ZfYAb-ifw,Marinepolis Sushi Land,7194 SW Hazelfern Rd,Portland,97224,45.3944013,-122.7503309,2.5,,Japanese
3313,ikNAoGu33Fp7lL2ask3fpw,Cuu Long Vietnamese,2922 SE 82nd Ave,Portland,97266,45.5010963,-122.5782325,2.5,,Vietnamese
3314,f01KbEnhy0SgLYu2ht_pbw,The Globe,2045 SE Belmont St,Portland,97214,45.5166391,-122.644569,4.0,,American (New)
3419,p0ciROd-RcqVl_ajy8ZFUw,OMG Oregon Made Grub,2671 NW Vaughn St,Portland,97210,45.5369556,-122.7061033,4.0,"I went there once and asked for my wrap to be cut in half.  The person said additional 50 cents and then when I asked ""Can the two halves be wrapped separately?""  Another 50 cents.  I will not be going there again.  The upcharge for sandwich paper is not worth a dollar.  They'll nickel and dime you for anything.",American (New)
3452,Va3kLTdlWPeRYaG1UprVtw,Oriental Food Concessions,5205 SE Foster Rd,Portland,97206,45.4956226388,-122.6084618963,3.5,,Japanese
3517,IZvy1p67lrSFhRqgYn8WJQ,Taiyou,4057 N Mississippi Ave,Portland,97227,45.5529744,-122.6758334,2.5,,Japanese
3542,xaGP8Dw_U-rBv3StDHRwzw,Uno Mas,2329 NE Glisan St,Portland,97232,45.5266741779,-122.6416604329,3.5,,American (New)
3642,JdkGmZ4fOUKz7dLQQFUCBQ,Got Pho?,3634 NE Sandy Blvd,Portland,97232,45.5332833,-122.6258607,3.5,,Vietnamese
3689,19jEdOQozuS6E1kdtF6L1Q,Ton Kao Thai,113 SE 28th Ave,Portland,97214,45.5217326214,-122.6376842335,4.0,Pretty slow and mediocre-,Thai
3722,bVWKty5Md1NGeR76uD-z1w,Big's Chicken,4606 NE Glisan St,Portland,97213,45.5261224,-122.615462,4.0,Great food,American (Traditional)
3730,zBtLEkSY1eIk8mxs435YVw,Tortilla Flats on Glisan,7901 N E Glisan St,Portland,97213,45.5265653991,-122.5822711363,2.0,,Mexican
3740,aaZ_ey62NgrHqKaCUgNmGA,AFURI IZAKAYA - Beaverton,12555 SW 1st St,Beaverton,97005,45.4865259,-122.8057147,3.5,Showed up to order at 9:20 PM and the employees were already cleaning up. Do not come at this time.,Japanese
3805,R1HKtgJ3vfTezsr6w9RNKw,Portland Seafood Company,9699 SW Washington Square Rd,Tigard,97223,45.449383,-122.780636,3.5,The drink n food there is great  I would recommended,American (Traditional)
3859,oEzKiacCFcrQaGQNLxFTLA,The Daily Planet,11312 SE Powell Blvd,Portland,97266,45.4964074,-122.5466362,3.5,Good food,American (New)
3876,INCbiW0gtxE9Gun3jNmnEA,Old Salt Market Place,5027 NE 42nd Ave,Portland,97218,45.5593155055,-122.6206995927,4.0,,American (New)
3917,Eou2gm3wxqdRqiIO8_jy4Q,Mashita Teriyaki 5,3010 NW Nicolai St,Portland,97210,45.5382202,-122.7126793,4.5,"Simple, no frills, good value place to eat.",Chinese
3927,cbYriFa6RrVU-rwFrQ03eg,Norm's Garden,7710 SW Barbur Blvd,Portland,97219,45.468561,-122.6920443,3.5,,Chinese
3951,qRgF3_OIeaFrZ_mZTgkE1w,Rice Time Oriental Grill,9203 SW Nimbus Ave,Beaverton,97008,45.4538031,-122.7898284,4.0,,Japanese
4113,bD_3BxWL2Z3JmiTFGiCt9g,Chin's Kitchen,4126 NE Broadway St,Portland,97232,45.5349717,-122.6207113,3.5,"Had amazing wings, dumplings, and noodles here. Highly recommend it all.",Chinese
4123,kcvcKj8-44IdD2kw844Bfg,La Piñata Takos,432 SW 3rd Ave,Portland,97214,45.5198475,-122.6742938,4.5,,Mexican
4171,NFb4zqgY-P2A_ISUnJQsnw,La Parrilla Kitchen,3244 NE 82nd Ave,Portland,97220,45.546156515,-122.5785767287,5.0,Great food !!! Wonderful service. We will be back,Mexican
4260,YKrKQ5opZHxHZj4ayn-2Mg,Area 52 Bar & Grill,6920 SE 52nd Ave,Portland,97206,45.472868,-122.6094491,3.5,,American (Traditional)
4283,lhhKGWNWDDb0T0E3o3qQlg,Thai Chili Jam,8148 SW Hall Blvd,Beaverton,97008,45.4612007,-122.7934474,3.5,,Thai
4286,3S60OPCLwosvOp0sJbU4Vw,Domaine Serene Wine Lounge Lake Oswego,300 1st St,Lake Oswego,97034,45.4182298277,-122.6647042024,4.0,,American (New)
4454,pNT9yivSNb4BlPGI9kr2aA,Muchas Gracias,707 NE Weidler St,Portland,97232,45.5345208,-122.6583237,2.5,Super great traditional Mexican food for amazing prices. Everything you could want.,Mexican
4571,JTNfXNofJDYI67VC62aEiQ,Double Dragon,1235 SE Division St,Portland,97214,45.5050654,-122.6528561,4.0,House ramen and Hahn mi. That's all you need to know.,Vietnamese
4595,q0XXRl0r_uf7mxgqaPAlYg,Yeung's Lotus Express,"2308 Lloyd Ctr, F 15",Portland,97232,45.5316492,-122.6545497,2.5,,Chinese
4633,wwpu_CYvAGLdau657UFLJg,Su Casa Taqueria Cart,Se 82nd Ave,Portland,97215,45.5214883172,-122.5793552399,4.5,cash only.,Mexican
4639,vEKv6kSJH3jDFXAL7Oocvw,Kyoto Sushi,11003 SE Division St,Portland,97266,45.504485,-122.5499298,4.0,Soooo good,Japanese
4861,_EJE_CLiPKzGDmuZOTH3Qw,Fife,4440 NE Fremont St,Portland,97213,45.5481705,-122.617151,4.0,,American (New)
4917,tSsCVhMFfCa3RO38NAacDA,Spicy World,10743 SW Beaverton Hillsdale Hwy,Beaverton,97005,45.4865496,-122.7871964,3.5,,Chinese
4920,Z_9NR4aQniiYPQMao0kzOg,Tamale Boy,"7000 NE Airport Way, Concourse D",Portland,97218,45.5892013,-122.5934769,2.0,Soupy carnitas. Need I say more?,Mexican
4927,lmfaXAcr5fR2bczIYw_dkg,Baba's Mediterranean Grill,10215 NE Cascades Pkwy,Portland,97220,45.5727093,-122.5570383,4.5,Good food and good atmosphere,Mediterranean
4990,6VfixDFFcl-db41_sxfibw,Tacos & More,11640 SW Pacific Hwy,Tigard,97223,45.43808,-122.754216,4.5,,Mexican
4995,ubRJzD1tJD9G2XaO7NxqBg,Muchas Gracias,5226 SW Beaverton Hillsdale Hwy,Portland,97221,45.4870335,-122.7305757,2.0,,Mexican
5020,ovu9e3gaB7SW863QT4FgKQ,G-Love,1615 NW 21st Ave Portland Or,Portland,97209,45.534323,-122.69495,4.5,The food and drinks here are great. Their outdoor seating is nice!,American (New)
5178,D2C0RtX8ptQMtOA8c-m3iQ,McMenamins Blue Moon Tavern & Grill,432 NW 21st Ave,Portland,97209,45.5261782,-122.6940895,3.0,Good food and friendly staff!,American (Traditional)
5182,7RZedyazzahlSUja9-rWhg,Ten 01,1001 NW Couch St,Portland,97209,45.5237805,-122.6812412,4.0,,American (New)
5197,jABFzSWTn9mIMDEEm8GV-A,Chipotle Mexican Grill,1933 W Burnside St,Portland,97209,45.5232658614,-122.691125,2.5,If you plan on relaxing and eating your meal inside the Chipotle make sure you get there before 9pm. After that they will kick you out of the comfy booths. Even though they're open until 10pm. That's what happened to me.,Mexican
5249,Jo8rPbHdtJpXfxvgYW-lUw,Happy Teriyaki,7217 SE 82nd Ave,Portland,97266,45.4707221985,-122.5794067383,3.0,,Chinese
5260,EPGKI3NCZzvgnIDgtD4Ptg,Al Hawr,3500 SW River Pkwy,Portland,97239,45.4976388,-122.6694032,4.5,Nice outdoor seating and the food was delicious. thoroughly enjoyed it!!!,Mediterranean
5377,Cqg7tm82Md98lhniKfyBtQ,Mandarin House,"120 SW Ankeny, Second Fl",Portland,97204,45.5222149,-122.6716192,4.0,This place is 京華樓 in Chinese,Chinese
5391,LWUE4u9NZZMSocMP8TU2kg,Speakeasy Bar & Grill,15680 SW Upper Boones Ferry Rd,Lake Oswego,97035,45.406132,-122.7456231,3.5,"Fuck this shit hole, umm i mean i hope it gets knocked down asap",American (Traditional)
5413,VpSi64jSJr_AB1Z7ORZXAQ,PeemKaew Thai,323 NW Park Ave,Portland,97209,45.5255798452,-122.6793387808,3.5,,Thai
5414,SjrVyIeYff2jEWhdBCgXPA,El Burrito Loco,3126 NE 82nd Ave,Portland,97220,45.5449333,-122.5785098,4.0,,Mexican
5434,Ei3BQGdms6Zqp58iMMAR4A,H5O bistro & bar,50 SW Morrison St,Portland,97204,45.5173366,-122.6733739,3.5,,American (New)
5503,gEhTMF0qAcXnsoTUOQcnTw,Chit-Chat Cafe,3390 NE Sandy Blvd,Portland,97232,45.53202,-122.6289892,3.5,,American (Traditional)
5545,8qEi1CFucFBy4YrEz0wYDw,Super Deluxe,5009 SE Powell Blvd,Portland,97206,45.4977942232,-122.6110754,3.5,Check your bag before you leave the window.,American (Traditional)
5565,oVR88-9ndF5qSkJYOV7Phg,Cafe Bon Appetit - University of Portland,5000 N Willamette Blvd,Portland,97203,45.5721,-122.7258474,3.0,,American (New)
5632,iis2N7u4j8L18wNCz8GGJg,Toji Korean Grill House,4615 SE Hawthorne Blvd,Portland,97215,45.5122956,-122.6146727,3.5,Quality!,Vietnamese
5753,8FKy64Hq8WCOZfgoBQ_WxA,Infierno Bonito,3954 N Williams Ave,Portland,97227,45.5520454,-122.6667241,4.5,,Mexican
5820,3OhrI5CKbpgyy613lkneqA,Taqueria Nueve,727 SE Washington St,Portland,97214,45.5187560625,-122.6580585951,4.0,Great food.   With a nice flavorful twist.  Friendly staff.  Will be back,Mexican
5881,6xk8K08Q1l2j9DXIA5ePKQ,Powell's Seafood Restaurant,6633 SE Powell Blvd,Portland,97206,45.4976459,-122.5948754,4.0,Beat beef fried rice ever! Never fails,Chinese
5900,IBtiaOtA47ZVuojFI5Xueg,Sandoval's Cafe & Cantina,460 SW Miller Rd,Portland,97225,45.5162892,-122.753478,3.5,"Very friendly staff, great food, and a great atmosphere!",Mexican
5909,UcLWgMvfvIFvHvDEHjV0Lw,A Little Bite Of Thai,12425 SW Main St,Tigard,97223,45.4304423,-122.7718902,5.0,,Thai
5915,0nQ0cuUZUhUdr6d5PvDQYA,FuddoYama Ramen,8610 SW Hall Blvd,Beaverton,97008,45.4581837,-122.7837615,4.0,Our favorite ramen shop!,Japanese
5984,Y0KX_U0kwlAUNa57T2nswg,Juan Colorado,"16165 SW Regatta Ln, Ste 1000",Beaverton,97006,45.5178109403,-122.8437798098,3.5,Over priced shit. I would never came here again.,Mexican
6021,J9W4fPHfZlhwwtDmJYUaYQ,Cha Ba Thai,3024 NE Alberta St,Portland,97211,45.558887,-122.63425,3.5,Alberta Street,Thai
6026,sF5SdJ42ZxJxi0n1-4GhAg,The Sultan Café,1500 NW 18th Ave,Portland,97209,45.5338485,-122.6892105,4.0,Fantastic. The chai is amazing and they are open.,Mediterranean
6031,AGIULp3c8GX5Y1aNtz39Zw,Milwaukie Teriyaki,3120 SE Milwaukie Ave,Portland,97202,45.5004152,-122.6539623,3.0,,Chinese
6141,wmOeWwUD3RtO8xtzuBDXSA,La Fogata,"3905 SW 117th Ave, Ste H",Beaverton,97005,45.490841,-122.7985521,3.0,,Mexican
6175,T415RZurg108SuYO3n3n4Q,Sushi Hana,11705 SW Pacific Hwy,Portland,97223,45.4376440145,-122.7578334417,3.5,Great value. Great staff. Great service.,Japanese
6185,4Du6XaiZ76yvd5BTGsHaaQ,John Street Cafe,8338 N Lombard St,Portland,97203,45.5894709,-122.7528131,4.0,Good food for a reasonable price. The coffee nudge was delicious.,American (Traditional)
6254,yQ3N4iZlLACpo7BMZ1Z1xg,Thanh Son Tofu,103 NE 82nd Ave,Portland,97220,45.5237998,-122.5792889,4.0,,Vietnamese
6270,5K7mfIFJk9yL7alNYxHFoA,Amor Lounge,6219 SE Foster Rd,Portland,97206,45.49095,-122.599227,4.0,,Mediterranean
6306,WjFKYw7CbEio0EdDHjU-cg,The Kache,6852 NE Sandy Blvd,Portland,97213,45.5468757,-122.5926233,3.5,,American (Traditional)
6344,t56cSN1PVHfX0K3nKt2d3g,Boke Bowl Pop-Up,,Portland,97214,45.5113506,-122.6456739,3.5,,Japanese
6348,LX6-l7SqWZO_gNwJ7nSa7w,White & Green Thai Noodles Bar,4604 SE Hawthorne Blvd,Portland,97215,45.5119214,-122.6149829,4.5,The calamari is so good!,Thai
6358,aU1BriUVcCvXgTUYztx-jQ,Casa del Sol,14324 SE Division St,Portland,97236,45.5038354,-122.5154577,4.0,"I love the Breakfast Burrito and the Casa del Sol Burrito, AWESOME!!",Mexican
6406,PH0eZVkk44am3XGYtQR_Ww,Thai Sky Kitchen,340 SW 5th Ave,Portland,97204,45.521012,-122.676165,4.0,,Thai
6411,G630PyRfU1mmtDK2h0e19A,IHOP,4931 SE 82nd Ave,Portland,97266,45.48683,-122.57911,2.5,,American (New)
6430,smQc3SYbYnuUSgq2C3xG5w,Uno Más Taquiza,1914 W Burnside St,Portland,97209,45.5228729,-122.6905734,3.5,"Food is terrible, drinks blow, service sucks.",Mexican
6455,oEdO07D80kjFABZ8LanyoQ,Gino's Teriyaki,714 NE Killingsworth St,Portland,97211,45.562713623,-122.6585464478,4.0,This place closed down,Japanese
6598,1wzuWmlb0Py1EAESHVcFtQ,Rollin' Fresh,2329 NE Glisan St,Portland,97232,45.5266831,-122.641837,4.5,We love their Spam Musubi!,American (New)
6620,KwhXXwfejyMr7jOess61Gg,Wingstop,4124 SE 82nd Ave,Portland,97266,45.4926287847,-122.5780615765,3.5,Fuck this place.,American (New)
6630,-921gYzvMFJmxJw9SMZ5mA,Sanchez Taquería,13050 SW Pacific Hwy,Tigard,97223,45.4254154,-122.7798745,4.0,Muy buena comida,Mexican
6667,QjN7LFZ7zU4xmdl42nFuYg,Taqueria Los Puñales,3312 SE Belmont St,Portland,97214,45.5163199,-122.6306028,5.0,Amazing tacos and friendly fast service!  These tacos are the real deal,Mexican
6698,91Dis9e6sPxlZyQvpVtqVw,Beach Shack,Portland International Airport,Portland,97218,45.587795843,-122.5993817641,3.5,,American (Traditional)
