,business_id,name,address,city,postal_code,latitude,longitude,stars,tips,cusines,checkins_count
40817,WWlkufMDXMmgOjnD_s1Wfg,The Matador,2424 E Burnside St,Portland,97214.0,45.5226289,-122.6408777,3.5,Slow asssss service ... came in on. Saturday night and service was externally slow !,Mexican,78
41933,XPWCQZJPRu08MtjceGyOaA,Danwei Canting,803 SE Stark St,Portland,97214.0,45.5194446,-122.65729340000001,4.0,Vegan and gluten-free options are clearly marked on the menu.,Chinese,121
43973,Z6P-iiwcqYimrV-_oszpQg,Hilton Portland Downtown,921 SW 6th Ave,Portland,97204.0,45.5173584,-122.67973020000001,3.5,Great friendly staff!,American (New),115
44474,ZV6ixgIFXdWECPmYRc6DNA,Ava Gene's,3377 SE Division St,Portland,97202.0,45.504905630399996,-122.62988176290001,4.0,Go for brunch. I highly recommend!!,American (New),78
45456,_Gp7wp0kLa9645oi3y_Ygw,Pho Nguyen,4795 SW 77th Ave,Portland,97225.0,45.4856055,-122.75722309999999,4.0,This is the BEST Vietnamese food!!!,Vietnamese,82
48223,bVWKty5Md1NGeR76uD-z1w,Big's Chicken,4606 NE Glisan St,Portland,97213.0,45.5261224,-122.61546200000001,4.0,Great food,American (Traditional),76
49916,crU16VRtOKYLkoVbjwGXRQ,WildFin American Grill - Beaverton,"2725 SW Cedar Hills Blvd, Ste 130",Beaverton,97005.0,45.500577299999996,-122.8091936,4.0,High price for mediocre food.. The service was about the same.,American (Traditional),121
49989,cvLkq3hxRKH--995r1gv4A,Mediterranean Exploration Company,333 NW 13th Ave,Portland,97209.0,45.525543646,-122.6844740767,4.5,Some of the best Mediterranean food I've had.,Mediterranean,121
50218,d69y3CN9_SQKrEnXXqQr8g,King Burrito Mexican Food,2924 N Lombard St,Portland,97217.0,45.5769598,-122.69708659999999,4.0,Great chicken burrito,Mexican,91
50728,dWuF7VxQF0R0BVTFHzBaHQ,23Hoyt,529 NW 23rd Ave,Portland,97210.0,45.526828801499995,-122.6986800619,3.5,$2 mimosas here!! Such an incredible deal for Brunch in PDX.,American (Traditional),104
51088,dpUMrsEepkWrK3lTMX0pRQ,Island Cafe,250 NE Tomahawk Island Dr,Portland,97217.0,45.603590000000004,-122.66338999999999,4.0,"Great service, delicious food, beautiful view!",American (Traditional),90
52943,fNCrWwMj1AEq5UYHPpCBxg,Shoten Japanese Dining,"16165 SW Regatta Ln, Ste 500",Beaverton,97006.0,45.5176625627,-122.8434056577,4.0,Salmon was fresh and the amount was proper.,Japanese,108
56672,iTDV8qSUaxpQa6PhfrwBoA,Paadee,6 SE 28th Ave,Portland,97214.0,45.522746000000005,-122.637124,4.0,It was delicious. I got the crispy duck. My server Tim was awesome.,American (New),121
59190,kYyP_0BC0KBJ-fKNSb4D3A,Marco's Cafe & Espresso Bar,7910 SW 35th Ave,Portland,97219.0,45.467393200000004,-122.7126842,3.5,Inconsistent quality of food.  Service is great and it's family friendly.,American (Traditional),92
59555,kqZa61d6WUJ717Enm5t9ow,Si Senor,8220 SW Hall Blvd,Beaverton,97008.0,45.46081420000001,-122.7931769,4.0,Good food quality. Not enough rice. Shrimp ceviche the best,Mexican,110
60150,lK-I8qZGu_ne56maS5im3Q,Fire on the Mountain,4225 N Interstate Ave,Portland,97217.0,45.5541179683,-122.68197655680001,3.5,"What a pain.  You can't call to order, online not accepting orders.",American (Traditional),101
60699,lmfaXAcr5fR2bczIYw_dkg,Baba's Mediterranean Grill,10215 NE Cascades Pkwy,Portland,97220.0,45.5727093,-122.55703829999999,4.5,Good food and good atmosphere,Mediterranean,78
62332,n73rxa6e6-fTIxQzfv4BuA,Mother’s Bistro & Bar,121 SW 3rd Ave,Portland,97204.0,45.522196,-122.673868,4.5,"Excellent comfort food. A little pricey. I return at least
Once a month.",American (Traditional),121
64191,ofaCxO85G8Lqd-4a5Fn45A,Heron Lakes Golf Club,3500 N Victory Blvd,Portland,97217.0,45.604555,-122.70510900000001,3.5,Nice layout.  Good price,American (Traditional),101
64952,pLpMLnKPyv5bDXmP_43nKg,Benihana,9205 SW Cascade Ave,Beaverton,97008.0,45.45337716149999,-122.7855251563,3.5,NEver disappoints!,Japanese,116
65594,psqZvk0lyOtEnq5KptF_VQ,Sunny's Diner,9993 SE 82nd Ave,Portland,97222.0,45.450946951999995,-122.57938910280001,4.0,Great food and service. Will definitely go back.,American (Traditional),96
66962,r1VBBIelTdjwtqE4pKwghA,Ramen Ryoma,10500 SW Beaverton Hillsdale Hwy,Beaverton,97005.0,45.4856519646,-122.7847966924,4.5,Killer Spicy Ramen was soo damn good!,Japanese,121
67610,r_sOAVfNPaXrpjznZpuxeg,Papi Chulo's,611 NW 13th Ave,Portland,97209.0,45.527418700000005,-122.68444720000001,4.0,Birra burrito. You're welcome.,Mexican,121
68969,sekbE_TpoPkVWIHMu0uBiA,Saburo's,1667 SE Bybee Blvd,Portland,97202.0,45.4738414,-122.6482962,3.5,have withdrawn money twice and do not want to return! disgusting attitude,Japanese,121
74003,wlEV8uK53BYXf7lZEYBctA,HunnyMilk,1981 W Burnside St,Portland,97209.0,45.5232386,-122.69211509999998,4.0,The best!,American (New),121
74413,x4sq4nYqjmeItcGjm8vLbw,Living Room Theaters,341 SW 10th Ave,Portland,97205.0,45.52231939999999,-122.6813545,4.0,The best,American (New),93
